車名,詳細URL,グレード・装備,支払総額(万円),車両本体価格(万円),年式,走行距離,車検,修復歴,保証,整備,排気量,ミッション,ボディタイプ,色
M3セダン M DCT ドライブロジック Mパフォ-マンスエアロPKG アダプティブMサスペンション カーボンスポイラ-/スプリッタ-/ディフュ-ザ-/ドアミラ- 純正19インチ黒塗装鍛造アルミ HUD 赤革Mスポ-ツシ-ト シ-トヒ-タ- M付PWシ-ト LED ナビ TV 衝突軽減B,https://www.carsensor.net/usedcar/detail/AU6697995908/index.html,「カーセンサーを見て電話しました」とお伝えください。ご不明点等は029-240-3361までご連絡ください。全国納車対応可能、各種ローンプランもご用意しております。,568,563,2017(H29),3.5万km,車検整備付,なし,保証付,法定整備付,3000CC,フロアMTモード付7AT,セダン,白
M3セダン M DCT ドライブロジック アラゴスタ車高調　フロント&リアエンドレスブレーキ　アクラポビッチマフラー　VFインタークーラー　Mパフォエアロ　3Dデザインサイドエアロ　3DデザインGTウイング　ADVAN18AW　チャージパイプ　KWリアアーム,https://www.carsensor.net/usedcar/detail/AU6662680964/index.html,,568,558,2015(H27),7.4万km,2026(R08)年07月,なし,保証無,法定整備付,3000CC,フロアMTモード付7AT,セダン,
M3セダン M DCT ドライブロジック 車高調　WORK20AW　エアロ　レッドレザー　純正ナビ　TV　バック&サイドカメラ　LEDヘッドライト　カーボンルーフ,https://www.carsensor.net/usedcar/detail/AU6573211479/index.html,,564,550,2018(H30),5.2万km,2027(R09)年05月,なし,保証付,法定整備付,3000CC,フロアMTモード付7AT,セダン,黒Ｍ
M3セダン M DCT ドライブロジック 後期　OP19AW　OP Mサスペンション　赤革　カーボンリアトランクスポイラー&リアディフューザー　ブラックフロントグリル　タイヤ4本新品交換済　ハーマンカードン　ディーラー整備記録簿　地デジTV　スペアキー,https://www.carsensor.net/usedcar/detail/AU6518518489/index.html,,550,540,2018(H30),5.2万km,2027(R09)年03月,なし,保証無,法定整備付,3000CC,フロアMTモード付7AT,セダン,黒
M3セダン M DCT ドライブロジック カーボンルーフ　黒レザー　ナビ,https://www.carsensor.net/usedcar/detail/AU1362853443/index.html,,557,538,2014(H26),2.4万km,車検整備無,なし,保証無,法定整備無,3000CC,フロアMTモード付7AT,セダン,白
M3セダン M DCT ドライブロジック BBS unlimited CI-R19AW  3Ddesign車高調　赤革レザー　レーダー探知機　フルセグTV シートヒーター　カーボンインテリア　ヘッドアップディスプレイ,https://www.carsensor.net/usedcar/detail/AU6594020192/index.html,,545,530,2016(H28),3.3万km,2027(R09)年05月,なし,保証無,法定整備付,3000CC,フロアMTモード付7AT,セダン,黒ＭＭ
M3セダン M DCT ドライブロジック 後期型　ドライブロジック　エクステンドメリノ革シート　純正19インチ黒塗装鍛造アルミ　harman/kardon　カーボンルーフ　ブルーブレーキキャリパー　クルーズコントロール　純正ナビ　バックカメラ,https://www.carsensor.net/usedcar/detail/AU6680971237/index.html,★グループ約３０，０００台の在庫から取り寄せ可能！★ＤＣＴ　ドライブロジック　エクステンドメリノ革シート　純正１９インチ黒塗装鍛造アルミ　バックカメラ,516,503,2018(H30),4.8万km,2027(R09)年06月,なし,保証付,法定整備付,3000CC,フロアMTモード付7AT,セダン,白III
M3セダン M DCT ドライブロジック レムスマフラー　KW車高調　OP19AW　OP Mサスペンション　タイヤ4本新品交換　カーボンエアロ&カーボン内装パーツ　カーボンインテリア　後期テール　ブラックグリル　整備記録簿7枚　前後ドラレコ　スペアキー有,https://www.carsensor.net/usedcar/detail/AU6440855656/index.html,,510,500,2015(H27),3.8万km,2026(R08)年06月,なし,保証無,法定整備付,3000CC,フロアMTモード付7AT,セダン,黒
M3セダン M DCT ドライブロジック 3Lターボエンジン　19インチAW　デイライト施工済み　クリアテール　カーボンリアディフューザー　スマートキー　iドライブ　地デジ　バックカメラ　パワーシート　赤革シート　シートヒーター,https://www.carsensor.net/usedcar/detail/AU6606846560/index.html,３Ｌターボエンジン　正規ディーラー車　赤革シート　１９インチＡＷデイライトコーディング済み　クリアテール　ｉドライブ純正ナビ　地デジ　バックカメラ　スマートキー,513,498,2016(H28),2.8万km,車検整備付,なし,保証付,法定整備付,3000CC,フロアMTモード付7AT,セダン,白
M3セダン M DCT ドライブロジック アダプティブMサスペンション/Mライトアロイホイールダブルスポークスタイリング437M/カーボンファイバートリム/ブラッククロームハイライト/HarmanKardonサウンドシステム/3Dデザインフロントリップスポイラー,https://www.carsensor.net/usedcar/detail/AU6578240551/index.html,,497,488,2015(H27),4.4万km,2026(R08)年12月,なし,保証付,法定整備付,3000CC,フロアMTモード付7AT,セダン,白Ｍ
M3セダン M DCT ドライブロジック アダプティブMサス/FSR&ルーフカーボン,https://www.carsensor.net/usedcar/detail/AU6454420933/index.html,,500,480,2014(H26),4.5万km,車検整備付,なし,保証無,法定整備付,3000CC,フロアMTモード付7AT,セダン,白
M3セダン M DCT ドライブロジック,https://www.carsensor.net/usedcar/detail/AU6632564163/index.html,,480,470,2016(H28),4.9万km,2026(R08)年11月,なし,保証無,法定整備付,3000CC,フロア7AT,セダン,白
M3セダン M DCT ドライブロジック コンペティションパッケージ装着車,https://www.carsensor.net/usedcar/detail/AU6669027781/index.html,,468,458,2016(H28),8.5万km,2025(R07)年12月,なし,保証無,法定整備付,3000CC,フロアMTモード付7AT,セダン,
M3セダン M DCT ドライブロジック 鍛造19インチアルミ/M専用強化ブレーキ/カーボンルーフ/HDDナビTV リアカメラ/アダブティブMサスペンション/ブラックレザーシート/シートヒーター/ヘッドアップディスプレイ/インテリセーフティー/クルコン,https://www.carsensor.net/usedcar/detail/AU6567206271/index.html,,463,449,2015(H27),4.3万km,2026(R08)年05月,なし,保証付,法定整備無,3000CC,フロアMTモード付7AT,セダン,青Ｍ
M3セダン M DCT ドライブロジック フルレザーメリノインテリア　OP19インチホイール　OP Mサスペンション　ハーマンカードンサウンド　カーボンインテリア　リアシートヒーター　ブラックグリル　レーダー　ドラレコ　ヘッドアップディスプレイ,https://www.carsensor.net/usedcar/detail/AU6635979827/index.html,,450,440,2014(H26),6.7万km,2027(R09)年07月,なし,保証無,法定整備付,3000CC,フロアMTモード付7AT,セダン,青
M3セダン M DCT ドライブロジック OP19AW　ブラックエアロパーツ　後期テール　ブラックフロントリップスポイラー&サイドスポイラー&トランクスポイラー&リアディフューザー&グリル　カーボンインテリア　タイヤ4本新品交換済　GPSレーダー,https://www.carsensor.net/usedcar/detail/AU6435471930/index.html,,430,410,2016(H28),7.1万km,車検整備付,なし,保証無,法定整備付,3000CC,フロアMTモード付7AT,セダン,白
M3セダン M DCT ドライブロジック OP19AW　フルレザーメリノインテリア　ブラックフロントリップスポイラー&サイドエアロ&リアエアロ&リアトランクスポイラー&フロントグリル&サイドグリル　OLEDテール　カーボンインテリア　ドラレコ　地デジTV,https://www.carsensor.net/usedcar/detail/AU6498323850/index.html,,430,410,2015(H27),7.3万km,車検整備付,なし,保証無,法定整備付,3000CC,フロアMTモード付7AT,セダン,白
M3セダン M DCT ドライブロジック ホワイトレザー/Fリップ/カーボンリアスポイラー/19AW/カーボンインテリア/メモリー付きパワーシート/シートヒーター/Bカメラ/純正ナビTV/ETC,https://www.carsensor.net/usedcar/detail/AU6625958701/index.html,,407,391,2017(H29),9.1万km,2026(R08)年01月,なし,保証無,法定整備付,3000CC,フロアMTモード付7AT,セダン,青Ｍ
M3セダン M DCT ドライブロジック OP19AW　OP Mサスペンション　カーボンフロントリップスポイラー&エアインテーク&サイドスポイラー&リアディフューザー&トランクスポイラー　カーボンインテリア　ブラックフロントグリル　レーダー　ドラレコ,https://www.carsensor.net/usedcar/detail/AU6566078968/index.html,,380,370,2015(H27),8.8万km,2026(R08)年07月,なし,保証無,法定整備付,3000CC,フロアMTモード付7AT,セダン,
M3セダン M DCT ドライブロジック OP19AW　Mパフォ-マンスパーツ　後期テール　Mパフォ-マンスカーボンフロントスプリッター&フロントスポイラー&ブラックグリル&リアディフューザー　リアM3エンブレムブラックアウト　タイヤ4本新品交換済,https://www.carsensor.net/usedcar/detail/AU6439019289/index.html,,390,370,2014(H26),8.4万km,車検整備付,なし,保証無,法定整備付,3000CC,フロアMTモード付7AT,セダン,白
M3セダン コンペティション M xドライブ 4WD 全国正規ディーラー保証付/2年・走行距離無制限 弊社デモカー LCI後期型　黒オレンジレザー Mコンフォートパッケージ　ベンチレーション　BMWレーザーライト　Mブレーキシステム　19/20インチ鍛造アルミ　禁煙,https://www.carsensor.net/usedcar/lease/AU6635978754/index.html,,,,2025(R07),0.4万km,2028(R10)年06月,なし,保証付,法定整備付,3000CC,フロアMTモード付8AT,セダン,灰茶Ｍ
